"No.","Time","Source","Destination","Protocol","Length","Info"
"13094","216.615419","34.149.100.209","192.168.122.247","TCP","58","443  >  42802 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"13097","216.615938","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=1 Ack=219 Win=65535 Len=0"
"13099","216.638411","34.149.100.209","192.168.122.247","TLSv1.2","1494","Server Hello"
"13101","216.638540","34.149.100.209","192.168.122.247","TLSv1.2","1494","Certificate [TCP segment of a reassembled PDU]"
"13103","216.638694","34.149.100.209","192.168.122.247","TLSv1.2","269","Server Key Exchange, Server Hello Done"
"13106","216.642256","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3096 Ack=312 Win=65535 Len=0"
"13107","216.661654","34.149.100.209","192.168.122.247","TLSv1.2","434","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"13111","216.672337","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=489 Win=65535 Len=0"
"13112","216.672912","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=809 Win=65535 Len=0"
"13113","216.672942","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3476 Ack=847 Win=65535 Len=0"
"13114","216.690706","34.149.100.209","192.168.122.247","TLSv1.2","92","Application Data"
"13115","216.691588","34.149.100.209","192.168.122.247","TLSv1.2","195","Application Data"
"13118","216.693088","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3655 Ack=893 Win=65535 Len=0"
"13120","216.741175","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=3655 Ack=1050 Win=65535 Len=0"
"13121","216.763166","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13122","216.763254","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13123","216.763270","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13124","216.763276","34.149.100.209","192.168.122.247","TLSv1.2","1009","Application Data"
"13126","216.765239","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13127","216.765310","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13128","216.765319","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13130","216.765399","34.149.100.209","192.168.122.247","TLSv1.2","734","Application Data"
"13137","216.767644","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13138","216.767664","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13139","216.767670","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13140","216.767697","34.149.100.209","192.168.122.247","TLSv1.2","384","Application Data, Application Data"
"13144","216.770003","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18580 Ack=1096 Win=65535 Len=0"
"13802","216.947506","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18580 Ack=1272 Win=65535 Len=0"
"13804","216.976412","34.149.100.209","192.168.122.247","TLSv1.2","166","Application Data"
"13806","216.979839","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18692 Ack=1318 Win=65535 Len=0"
"13813","217.046334","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18692 Ack=1451 Win=65535 Len=0"
"13814","217.065230","34.149.100.209","192.168.122.247","TLSv1.2","143","Application Data"
"13816","217.067832","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18781 Ack=1497 Win=65535 Len=0"
"13818","217.292042","34.149.100.209","192.168.122.247","TCP","54","443  >  42802 [ACK] Seq=18781 Ack=1646 Win=65535 Len=0"
"13819","217.314011","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data, Application Data"
"13820","217.314043","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13821","217.314050","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13822","217.314067","34.149.100.209","192.168.122.247","TLSv1.2","889","Application Data"
"13824","217.314976","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13825","217.314994","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13827","217.317724","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13828","217.317745","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13830","217.317825","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13831","217.317831","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13832","217.317839","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13833","217.317845","34.149.100.209","192.168.122.247","TLSv1.2","354","Application Data"
"13836","217.318968","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13837","217.318988","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13839","217.320127","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13840","217.320216","34.149.100.209","192.168.122.247","TLSv1.2","1114","Application Data"
"13842","217.321151","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data"
"13843","217.321274","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
"13844","217.321287","34.149.100.209","192.168.122.247","TLSv1.2","1494","Application Data [TCP segment of a reassembled PDU]"
